Food,FDC
Field Pea,788385
Banana,786652
Barley,489276
Beef,548512
Beer,789593
Boye/Yam,170071
Butter/ghee,479107
Cassava,372909
Chat / Kat,454451
Cheese,436242
Chick Pea,393415
Coffee,789337
Eggs,520005
Fish,473858
Goat & mutton meat,175303
Green chili pepper (kariya),168577
"Greens (kale, cabbage, etc.)",787307
Ground nuts,170162
Haricot Beans,747441
Lentils,539527
Linseed,492886
Maize,168921
Meat,579240
Milk,517042
Millet,169702
Niger Seed,170145
Oils (processed),789038
Onion,570221
Orange,392522
Pasta/Maccaroni,457126
Potato,170026
Poultry,171116
Purchased Injera,784689
Purchased Bread or Biscuits,784670
Red pepper (berbere),448246
Salt,394689
Soft drinks/Soda,789510
Sorghum,169716
Sugar,380934
Sweet potato,478350
Tea,540031
Teff,361081
Tomato,787683
Wheat,168944